id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,is_zb,is_new
57729,ORANGE,AJO,5G NR 700,54 AV THERMALE 42600 MONTBRISON,42147,"45.5936,4.0717",Immeuble,16m,"Commune, communauté de communes",False,False
57729,ORANGE,SUP,LTE 700,54 AV THERMALE 42600 MONTBRISON,42147,"45.5936,4.0717",Immeuble,16m,"Commune, communauté de communes",False,False
90876,ORANGE,SUP,LTE 700,VC 1 DU CD 765 À POULLAN SUR MER (MENEZ TROMILLOU) 29790 CONFORT MEILARS,29145,"48.0578,-4.4206",Pylône autostable,30m,TOTEM,False,False
91150,ORANGE,AJO,5G NR 700,COL DE TEGHIME (TERRAIN COMMUNAL) 20253 BARBAGGIO,2B029,"42.68,9.3892",Pylône autostable,13m,TOTEM,False,False
91150,ORANGE,SUP,LTE 700,COL DE TEGHIME (TERRAIN COMMUNAL) 20253 BARBAGGIO,2B029,"42.68,9.3892",Pylône autostable,13m,TOTEM,False,False
93412,ORANGE,SUP,LTE 700,N.157 - AIRE D'ERBRÉE (LA HUPERIE) 35500 ERBREE,35105,"48.0911,-1.0956",Pylône autostable,35m,TOTEM,False,False
93708,ORANGE,AJO,5G NR 700,CENTRALE EDF/CHINON 37420 AVOINE,37011,"47.2339,0.1667",Château d'eau - réservoir,73m,"Syndicat des eaux, Adduction",False,False
93708,ORANGE,SUP,LTE 700,CENTRALE EDF/CHINON 37420 AVOINE,37011,"47.2339,0.1667",Château d'eau - réservoir,73m,"Syndicat des eaux, Adduction",False,False
93750,ORANGE,SUP,LTE 700,RTE DE MONTS. (CHÂTEAU D'EAU) 37250 SORIGNY,37250,"47.2456,0.6922",Château d'eau - réservoir,50m,"Commune, communauté de communes",False,False
93940,ORANGE,AJO,"LTE 1800, 5G NR 700, 5G NR 3500",STADE 38134 ST JOSEPH DE RIVIERE,38405,"45.3728,5.6878",Pylône autostable,22m,TOTEM,False,False
93940,ORANGE,SUP,LTE 700,STADE 38134 ST JOSEPH DE RIVIERE,38405,"45.3728,5.6878",Pylône autostable,22m,TOTEM,False,False
96248,ORANGE,AJO,"LTE 2100, 5G NR 700, 5G NR 3500",R DU CHÂTEAU D'EAU  (VILLELOUET) 41120 CHAILLES,41032,"47.5175,1.305",Château d'eau - réservoir,39m,"Commune, communauté de communes",False,False
97204,ORANGE,SUP,LTE 700,R DU CHÂTEAU D'EAU (LE BOURG) 45510 TIGY,45324,"47.7931,2.1997",Château d'eau - réservoir,42m,"Commune, communauté de communes",False,False
97598,ORANGE,ALL,"LTE 1800, 5G NR 2100",L'HABITARELLE (CHON BLON) 48170 ARZENC DE RANDON,48008,"44.6175,3.6675",Pylône autostable,30m,TOTEM,False,False
99020,ORANGE,SUP,LTE 700,R GABRIEL DESHAYES 56380 BEIGNON,56012,"47.97,-2.1692",Château d'eau - réservoir,"28,9m","Syndicat des eaux, Adduction",False,False
100560,ORANGE,SUP,LTE 700,VC N°4 (LA COULOMBRIÈRE) 61140 RIVES D ANDAINE,61096,"48.5406,-0.4642",Pylône autostable,35m,TOTEM,False,False
105442,ORANGE,AJO,"LTE 700, 5G NR 2100",VOIE RURALE DITE DE DERRIÈRE LES HAIES (LA PETITE CROIX) 80120 FOREST MONTIERS,80332,"50.2414,1.7433",Pylône autostable,"46,6m",HIVORY,False,False
105442,ORANGE,SUP,LTE 2100,VOIE RURALE DITE DE DERRIÈRE LES HAIES (LA PETITE CROIX) 80120 FOREST MONTIERS,80332,"50.2414,1.7433",Pylône autostable,"46,6m",HIVORY,False,False
105578,ORANGE,ALL,"LTE 1800, 5G NR 2100",(LE BOUSQUET) 81440 VENES,81311,"43.7117,2.2039",Pylône autostable,25m,TOTEM,False,False
106496,ORANGE,ALL,5G NR 3500,R DES FONTAINES 86700 VALENCE EN POITOU,86082,"46.3011,0.1806",Château d'eau - réservoir,51m,"Commune, communauté de communes",False,False
141627,ORANGE,SUP,"GSM 900, UMTS 900",1 R MARCHETTI 13002 MARSEILLE 02,13202,"43.3011,5.3644",Immeuble,28m,"Copropriété, Syndic, SCI",False,False
267159,ORANGE,ALL,5G NR 2100,EGLISE DE DOMJEVIN (PÂQUIS) 54450 DOMJEVIN,54163,"48.5753,6.6975",Monument religieux,34m,"Commune, communauté de communes",False,False
277604,ORANGE,ALL,LTE 700,CHEM DE LA BONNIÈRE (AU BOIS CLAIR) 71960 SOLOGNY,71525,"46.3858,4.6742",Pylône autostable,42m,TOTEM,False,False
287988,ORANGE,AJO,5G NR 700,R DU CHEM DU MAURE ADM. : ALLÉE DU STADE STADE DE DAMIGNY 61250 DAMIGNY,61143,"48.4469,0.0778",Pylône tubulaire,30m,TOTEM,False,False
287988,ORANGE,SUP,LTE 700,R DU CHEM DU MAURE ADM. : ALLÉE DU STADE STADE DE DAMIGNY 61250 DAMIGNY,61143,"48.4469,0.0778",Pylône tubulaire,30m,TOTEM,False,False
291960,ORANGE,AJO,"5G NR 700, 5G NR 3500",R GUYNEMER RÉSIDENCE GUYNEMER LES AVIATEURS 59520 MARQUETTE LEZ LILLE,59386,"50.6692,3.0692",Immeuble,20m,Société Privée,False,False
306672,ORANGE,AJO,5G NR 700,RTE DE LABLACHÈRE LE FADAS 07260 JOYEUSE,07110,"44.4769,4.2253",Pylône autostable,"31,1m",TOTEM,False,False
306672,ORANGE,SUP,LTE 700,RTE DE LABLACHÈRE LE FADAS 07260 JOYEUSE,07110,"44.4769,4.2253",Pylône autostable,"31,1m",TOTEM,False,False
310482,ORANGE,ALL,5G NR 2100,(LES AIRES) 13126 VAUVENARGUES,13111,"43.5564,5.6056",Mât,3m,TOTEM,False,False
315997,ORANGE,AJO,"LTE 700, 5G NR 2100",R DU CHATEAU D'EAU 54190 TIERCELET,54525,"49.4642,5.8839",Château d'eau - réservoir,23m,"Syndicat des eaux, Adduction",False,False
315997,ORANGE,SUP,LTE 2100,R DU CHATEAU D'EAU 54190 TIERCELET,54525,"49.4642,5.8839",Château d'eau - réservoir,23m,"Syndicat des eaux, Adduction",False,False
325206,ORANGE,AJO,5G NR 2100,ROUTE DE PARAY LE MONIAL (LA TUILERIE) 71600 ST YAN,71491,"46.4086,4.0364",Pylône autostable,21m,ORANGE,False,False
333921,ORANGE,AJO,5G NR 700,17 AV. SCUDÉRI (CAP DE CROIX) 06000 NICE,06088,"43.7289,7.2742",Immeuble,23m,"Copropriété, Syndic, SCI",False,False
333921,ORANGE,SUP,LTE 700,17 AV. SCUDÉRI (CAP DE CROIX) 06000 NICE,06088,"43.7289,7.2742",Immeuble,23m,"Copropriété, Syndic, SCI",False,False
365696,ORANGE,AJO,"UMTS 900, 5G NR 2100",CHEM COMMUNAL (A LA MOTTE) 70100 APREMONT,70024,"47.3944,5.5586",Château d'eau - réservoir,25m,"Commune, communauté de communes",False,False
367981,ORANGE,AJO,"LTE 2100, 5G NR 700, 5G NR 3500",LES CHAMPS MERLE PRÈS D.25 (LA CHAIGNÉE) 85770 VIX,85303,"46.3719,-0.8733",Pylône autostable,30m,TOTEM,False,False
367981,ORANGE,SUP,LTE 700,LES CHAMPS MERLE PRÈS D.25 (LA CHAIGNÉE) 85770 VIX,85303,"46.3719,-0.8733",Pylône autostable,30m,TOTEM,False,False
392884,ORANGE,AJO,"LTE 700, 5G NR 2100",AV DE LA CÎTÉ SCOLAIRE PYLONE HAUTE TENSION N°65 08500 REVIN,08363,"49.9303,4.6569",Pylône autostable,27m,RTE,False,False
397754,ORANGE,ALL,LTE 700,CHEM RURAL (LA COURRÈGE) 65190 CAHARET,65118,"43.1508,0.3125",Pylône haubané,25m,TOTEM,False,False
399659,ORANGE,AJO,5G NR 700,R DU 8 MAI 1945 CENTRAL TÉLÉPHONIQUE 29760 PENMARCH,29158,"47.8056,-4.3608",Pylône tubulaire,20m,TOTEM,False,False
399659,ORANGE,SUP,LTE 700,R DU 8 MAI 1945 CENTRAL TÉLÉPHONIQUE 29760 PENMARCH,29158,"47.8056,-4.3608",Pylône tubulaire,20m,TOTEM,False,False
424599,ORANGE,ALL,5G NR 3500,126 CHAUSSÉE JULES CÉSAR PYLÔNE RTE N°166 95520 OSNY,95476,"49.0589,2.0436",Pylône autostable,41m,RTE,False,False
436585,ORANGE,ALL,"LTE 2600, 5G NR 700, 5G NR 3500",RN 21 (LA TUQUETTE) 47480 PONT DU CASSE,47209,"44.2556,0.6594",Pylône autostable,"92,8m",TDF,False,False
437073,ORANGE,ALL,"5G NR 700, 5G NR 3500",COTE DU CHENE BERCHE (LE SERVERIN) 38390 PARMILIEU,38295,"45.8667,5.3722",Pylône autostable,44m,TDF,False,False
437323,ORANGE,SUP,LTE 700,2 AV CHAMP FLEURI 74000 ANNECY,74010,"45.8914,6.1008",Immeuble,30m,Société HLM,False,False
438011,ORANGE,SUP,LTE 700,R LÉON BLUM FOYER REDOUTE (ST SAUVEUR) 50100 CHERBOURG EN COTENTIN,50129,"49.6344,-1.6375",Immeuble,"22,9m",Société HLM,False,False
438471,ORANGE,AJO,5G NR 700,(LES JUSTICES) 03380 QUINSSAINES,03212,"46.3267,2.4986",Pylône autostable,35m,TDF,False,False
438471,ORANGE,SUP,LTE 700,(LES JUSTICES) 03380 QUINSSAINES,03212,"46.3267,2.4986",Pylône autostable,35m,TDF,False,False
438547,ORANGE,ALL,"LTE 2100, LTE 2600, 5G NR 3500",AV DE LA GARE GARE SNCF 78820 JUZIERS,78327,"48.9922,1.8461",Pylône autostable,21m,CELLNEX,False,False
438714,ORANGE,ALL,"5G NR 700, 5G NR 3500",LES CHARPIGNES RD  69 (LES CÔTES PESSE) 57530 OGY MONTOY FLANVILLE,57482,"49.1244,6.2739",Pylône autostable,"37,5m",ATC FRANCE,False,False
438770,ORANGE,ALL,"5G NR 700, 5G NR 3500",SITE TDF DE CHARMES (LE HAUT DU MONT) 88130 CHARMES,88090,"48.3633,6.2831",Pylône autostable,40m,TDF,False,False
