id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,is_zb,is_new
67819,ORANGE,ALL,5G NR 2100,LA GROUÉE D 28 28700 UMPEAU,28397,"48.4719,1.6644",Château d'eau - réservoir,30m,"Syndicat des eaux, Adduction",False,False
89576,ORANGE,ALL,5G NR 2100,SENTIER N°61 DIT DU FOND DE LA CHAPPE (LES GROASSES) 21310 BEZE,21071,"47.4689,5.2794",Pylône autostable,36m,TOTEM,False,False
89748,ORANGE,AJO,"LTE 700, 5G NR 2100",(KERNEVEZ) 22200 MOUSTERU,22156,"48.5222,-3.2414",Pylône autostable,32m,TOTEM,False,False
99128,ORANGE,SUP,LTE 700,R DE CHÂTEAUBRIAND 56110 GOURIN,56066,"48.1325,-3.615",Château d'eau - réservoir,29m,"Commune, communauté de communes",False,False
103477,ORANGE,ALL,"5G NR 700, 5G NR 3500",STATION TDF (SUR LE FEU) 74250 LA TOUR,74284,"46.1328,6.4356",Pylône autostable,"31,3m",TDF,False,False
259202,ORANGE,ALL,"5G NR 700, 5G NR 3500",CHEM DE COUÈRE ZA LE PERRELY NIARFEIX ENTREPRISE 38300 RUY MONTCEAU,38348,"45.5833,5.3192",Immeuble,"13,4m",Société Privée,False,False
264878,ORANGE,ALL,5G NR 700,R DE L'EGLISE EGLISE ST MARTIN 63800 COURNON D AUVERGNE,63124,"45.7425,3.1969",Monument religieux,38m,"Commune, communauté de communes",False,False
306672,ORANGE,ALL,5G NR 700,RTE DE LABLACHÈRE LE FADAS 07260 JOYEUSE,07110,"44.4769,4.2253",Pylône autostable,"31,1m",TOTEM,False,False
318080,ORANGE,ALL,5G NR 700,AV. DU GÉNÉRAL LECLERC STADE JEAN ETCHEBERRY 38200 VIENNE,38544,"45.5014,4.8486",Pylône tubulaire,20m,TOTEM,False,False
344241,ORANGE,ALL,5G NR 700,"13, BD DE L' ESPÉRANCE 35400 ST MALO",35288,"48.6497,-1.9872",Pylône autostable,22m,TOTEM,False,False
368181,ORANGE,SUP,LTE 700,R DES 4 CHEMINS C.A.V.A.C. 85260 L HERBERGEMENT,85108,"46.9025,-1.3761",Bâtiment,"22,6m",Société Privée,False,False
418263,ORANGE,ALL,5G NR 700,14 BD DE PREVAL DÉPOT VENTE GALERIE DE L'OCCASION 22100 QUEVERT,22259,"48.4581,-2.0647",Pylône autostable,25m,TOTEM,False,False
424599,ORANGE,ALL,5G NR 700,126 CHAUSSÉE JULES CÉSAR PYLÔNE RTE N°166 95520 OSNY,95476,"49.0589,2.0436",Pylône autostable,41m,RTE,False,False
436107,ORANGE,ALL,5G NR 700,CR N°32 PYLONE FRANCE TELECOM (LA BUTTE) 50300 ST SENIER SOUS AVRANCHES,50554,"48.6875,-1.3475",Pylône autostable,60m,TOTEM,False,False
436169,ORANGE,ALL,"5G NR 700, 5G NR 3500",R PASTEUR 50200 COUTANCES,50147,"49.0594,-1.4292",Pylône autostable,45m,TOTEM,False,False
437062,ORANGE,ALL,"5G NR 700, 5G NR 3500",LA BOURDONNIÈRE (ST GERMAIN DU VAL) 72200 LA FLECHE,72154,"47.7189,-0.0675",Pylône autostable,77m,TDF,False,False
438011,ORANGE,ALL,5G NR 700,R LÉON BLUM FOYER REDOUTE (ST SAUVEUR) 50100 CHERBOURG EN COTENTIN,50129,"49.6344,-1.6375",Immeuble,"22,9m",Société HLM,False,False
438500,ORANGE,ALL,5G NR 700,RTE DES MONTS (SUR COTE ROUSSE) 73000 CHAMBERY,73065,"45.5858,5.9272",Pylône autostable,61m,TDF,False,False
440267,ORANGE,ALL,5G NR 700,R CHARLES MALAS INTERSEC DE RD126 PROCHE DU CHATEAU D'EAU 14400 ST VIGOR LE GRAND,14663,"49.2764,-0.6903",Pylône autostable,52m,TDF,False,False
442774,ORANGE,AJO,5G NR 700,BD MARITIME ENTREPRISE FOSSELEV 76650 PETIT COURONNE,76497,"49.4006,1.0189",Pylône tubulaire,"27,4m",TOTEM,False,False
442774,ORANGE,SUP,LTE 700,BD MARITIME ENTREPRISE FOSSELEV 76650 PETIT COURONNE,76497,"49.4006,1.0189",Pylône tubulaire,"27,4m",TOTEM,False,False
445386,ORANGE,AJO,5G NR 700,191 R M BARRÈS HÔPITAL DE VITTEL 88800 VITTEL,88516,"48.2058,5.9467",Bâtiment,42m,Établissement de soins,False,False
445386,ORANGE,SUP,LTE 700,191 R M BARRÈS HÔPITAL DE VITTEL 88800 VITTEL,88516,"48.2058,5.9467",Bâtiment,42m,Établissement de soins,False,False
446210,ORANGE,ALL,5G NR 700,GRANGETTE CHEM DU COL DU GOULET (BRAME FARINE) 38580 ALLEVARD,38006,"45.4072,6.0511",Tour hertzienne,48m,TDF,False,False
