id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,is_zb,is_new
53750,ORANGE,ALL,"LTE 700, LTE 1800",R DES ACACIAS (LA BROCHARDIÈRE) 53950 LA CHAPELLE ANTHENAISE,53056,"48.1167,-0.6683",Pylône autostable,30m,TOTEM,False,False
67819,ORANGE,ALL,5G NR 2100,LA GROUÉE D 28 28700 UMPEAU,28397,"48.4719,1.6644",Château d'eau - réservoir,30m,"Syndicat des eaux, Adduction",False,False
72791,ORANGE,SUP,LTE 700,D.54 - AV. PASTEUR CHÂTEAU D'EAU (FAUBOURG DE TROYES) 10400 NOGENT SUR SEINE,10268,"48.4875,3.5078",Château d'eau - réservoir,43m,"Commune, communauté de communes",False,False
89576,ORANGE,ALL,5G NR 2100,SENTIER N°61 DIT DU FOND DE LA CHAPPE (LES GROASSES) 21310 BEZE,21071,"47.4689,5.2794",Pylône autostable,36m,TOTEM,False,False
89748,ORANGE,AJO,"LTE 700, 5G NR 2100",(KERNEVEZ) 22200 MOUSTERU,22156,"48.5222,-3.2414",Pylône autostable,32m,TOTEM,False,False
99128,ORANGE,SUP,LTE 700,R DE CHÂTEAUBRIAND 56110 GOURIN,56066,"48.1325,-3.615",Château d'eau - réservoir,29m,"Commune, communauté de communes",False,False
100560,ORANGE,ALL,"5G NR 700, 5G NR 3500",VC N°4 (LA COULOMBRIÈRE) 61140 RIVES D ANDAINE,61096,"48.5406,-0.4642",Pylône autostable,35m,TOTEM,False,False
103477,ORANGE,ALL,"5G NR 700, 5G NR 3500",STATION TDF (SUR LE FEU) 74250 LA TOUR,74284,"46.1328,6.4356",Pylône autostable,"31,3m",TDF,False,False
103835,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700",143 AV DE VERSAILLES 2 BAT BLÉRIOT 75016 PARIS 16,75116,"48.8414,2.2689",Immeuble,36m,"État, Ministère",False,False
105578,ORANGE,ALL,LTE 700,(LE BOUSQUET) 81440 VENES,81311,"43.7117,2.2039",Pylône autostable,25m,TOTEM,False,False
259202,ORANGE,ALL,"5G NR 700, 5G NR 3500",CHEM DE COUÈRE ZA LE PERRELY NIARFEIX ENTREPRISE 38300 RUY MONTCEAU,38348,"45.5833,5.3192",Immeuble,"13,4m",Société Privée,False,False
264878,ORANGE,ALL,5G NR 700,R DE L'EGLISE EGLISE ST MARTIN 63800 COURNON D AUVERGNE,63124,"45.7425,3.1969",Monument religieux,38m,"Commune, communauté de communes",False,False
265151,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700","15, R BALZAC 94400 VITRY SUR SEINE",94081,"48.7775,2.4019",Bâtiment,35m,Société Privée,False,False
